Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1961,07A,A061,2,08,08,5,0,0,,,,1,,0,,0,,0,,0,,2,,0,,,,,,,2,0,,,
2180,,,1961,07A,A062,1,08,08,1,0,0,,,,0,,0,,0,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A062,2,08,08,5,0,0,,,,0,,0,,1,,1,,2,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A063,1,08,08,49,0,1,,,,0,,1,,2,,4,,5,,9,,25,,,,,,,2,0,,,
2180,,,1961,07A,A063,2,08,08,64,0,1,,,,0,,1,,2,,4,,7,,14,,33,,,,,,,2,0,,,
2180,,,1961,07A,A064,1,08,08,130,34,70,,,,10,,0,,1,,2,,1,,4,,6,,,,,,,2,34,,,
2180,,,1961,07A,A064,2,08,08,115,43,63,,,,4,,0,,0,,0,,0,,1,,4,,,,,,,0,43,,,
2180,,,1961,07A,A065,1,08,08,534,69,117,,,,85,,31,,35,,30,,38,,38,,85,,,,,,,6,69,,,
2180,,,1961,07A,A065,2,08,08,533,69,130,,,,67,,39,,49,,38,,33,,26,,79,,,,,,,3,69,,,
2180,,,1961,07A,A066,1,08,08,98,11,9,,,,7,,2,,8,,5,,8,,15,,33,,,,,,,0,11,,,
2180,,,1961,07A,A066,2,08,08,75,15,7,,,,8,,5,,7,,3,,4,,6,,19,,,,,,,1,15,,,
2180,,,1961,07A,A067,1,08,08,9,2,1,,,,1,,0,,0,,0,,0,,1,,3,,,,,,,1,2,,,
2180,,,1961,07A,A067,2,08,08,21,2,1,,,,3,,0,,1,,0,,1,,2,,11,,,,,,,0,2,,,
2180,,,1961,07A,A068,1,08,08,84,0,0,,,,1,,3,,7,,17,,23,,17,,16,,,,,,,0,0,,,
2180,,,1961,07A,A068,2,08,08,14,0,0,,,,0,,2,,2,,3,,2,,2,,3,,,,,,,0,0,,,
2180,,,1961,07A,A069,1,08,08,4,0,1,,,,2,,1,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A069,2,08,08,2,1,0,,,,0,,0,,0,,0,,1,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A070,1,08,08,427,4,7,,,,13,,23,,32,,42,,45,,80,,177,,,,,,,4,4,,,
2180,,,1961,07A,A070,2,08,08,341,2,6,,,,5,,10,,20,,34,,41,,51,,169,,,,,,,3,2,,,
2180,,,1961,07A,A071,1,08,08,153,52,35,,,,27,,6,,12,,8,,6,,2,,4,,,,,,,1,52,,,
2180,,,1961,07A,A071,2,08,08,128,35,39,,,,19,,10,,11,,3,,4,,3,,4,,,,,,,0,35,,,
2180,,,1961,07A,A072,1,08,08,2,0,0,,,,0,,1,,0,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A072,2,08,08,1,0,0,,,,0,,0,,0,,0,,0,,1,,0,,,,,,,0,0,,,
2180,,,1961,07A,A073,1,08,08,94,14,13,,,,11,,21,,13,,5,,6,,3,,8,,,,,,,0,14,,,
2180,,,1961,07A,A073,2,08,08,90,20,10,,,,11,,12,,11,,8,,6,,6,,5,,,,,,,1,20,,,
2180,,,1961,07A,A074,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A074,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A075,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A075,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A076,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A076,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A077,1,08,08,1,0,1,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A077,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A078,1,08,08,136,19,16,,,,8,,9,,10,,8,,10,,17,,38,,,,,,,1,19,,,
2180,,,1961,07A,A078,2,08,08,109,19,25,,,,5,,3,,5,,9,,7,,10,,25,,,,,,,1,19,,,
2180,,,1961,07A,A079,1,08,08,13,0,0,,,,4,,1,,0,,0,,1,,0,,6,,,,,,,1,0,,,
2180,,,1961,07A,A079,2,08,08,11,0,2,,,,3,,0,,0,,0,,1,,1,,4,,,,,,,0,0,,,
2180,,,1961,07A,A080,1,08,08,32,0,0,,,,3,,0,,3,,5,,10,,7,,4,,,,,,,0,0,,,
2180,,,1961,07A,A080,2,08,08,60,0,0,,,,6,,5,,2,,8,,7,,5,,27,,,,,,,0,0,,,
2180,,,1961,07A,A081,1,08,08,197,4,8,,,,8,,5,,5,,6,,23,,42,,96,,,,,,,0,4,,,
2180,,,1961,07A,A081,2,08,08,132,4,4,,,,4,,4,,4,,7,,12,,17,,76,,,,,,,0,4,,,
2180,,,1961,07A,A082,1,08,08,442,23,31,,,,29,,10,,28,,30,,39,,63,,180,,,,,,,9,23,,,
2180,,,1961,07A,A082,2,08,08,457,19,30,,,,27,,24,,26,,30,,32,,49,,211,,,,,,,9,19,,,
2180,,,1961,07A,A083,1,08,08,72,0,0,,,,6,,2,,3,,3,,8,,11,,38,,,,,,,1,0,,,
2180,,,1961,07A,A083,2,08,08,98,1,1,,,,0,,2,,2,,5,,7,,13,,67,,,,,,,0,1,,,
2180,,,1961,07A,A084,1,08,08,38,1,0,,,,1,,1,,1,,1,,3,,8,,22,,,,,,,0,1,,,
2180,,,1961,07A,A084,2,08,08,56,0,0,,,,1,,3,,1,,4,,4,,15,,28,,,,,,,0,0,,,
2180,,,1961,07A,A085,1,08,08,67,5,5,,,,4,,1,,1,,3,,1,,8,,39,,,,,,,0,5,,,
2180,,,1961,07A,A085,2,08,08,66,5,0,,,,0,,4,,0,,1,,0,,6,,50,,,,,,,0,5,,,
2180,,,1961,07A,A086,1,08,08,87,2,1,,,,9,,9,,19,,13,,14,,5,,14,,,,,,,1,2,,,
2180,,,1961,07A,A086,2,08,08,80,1,2,,,,3,,14,,12,,12,,10,,10,,15,,,,,,,1,1,,,
2180,,,1961,07A,A087,1,08,08,81,28,21,,,,12,,3,,1,,5,,1,,2,,6,,,,,,,2,28,,,
2180,,,1961,07A,A087,2,08,08,83,16,29,,,,9,,8,,5,,6,,2,,2,,5,,,,,,,1,16,,,
2180,,,1961,07A,A088,1,08,08,907,434,291,,,,71,,28,,10,,6,,11,,11,,33,,,,,,,12,434,,,
2180,,,1961,07A,A088,2,08,08,835,379,251,,,,71,,24,,21,,8,,12,,13,,49,,,,,,,7,379,,,
2180,,,1961,07A,A089,1,08,08,53,8,3,,,,6,,2,,6,,2,,5,,7,,14,,,,,,,0,8,,,
2180,,,1961,07A,A089,2,08,08,34,8,4,,,,3,,2,,1,,1,,1,,0,,14,,,,,,,0,8,,,
